user_id,cycle_num,day_in_cycle,phase,sport,duration_min,intensity_target,avg_hr_bpm,rpe,recovery_hours,temp_c,age,fitness_level
0,1,3,menstruation,walking,18,7,143,7.8,15,20.7,33,intermediate
0,1,13,follicular,strength,15,4,127,4.2,6,10.0,33,intermediate
0,1,16,ovulation,strength,42,8,141,8.1,41,1.5,33,intermediate
0,1,23,luteal,walking,61,5,131,5.9,31,17.7,33,intermediate
0,0,23,luteal,hiit,45,6,145,6.9,34,15.6,33,intermediate
0,1,27,luteal,running,40,3,136,3.7,18,15.4,33,intermediate
0,0,3,menstruation,walking,45,8,160,9.0,54,1.6,33,intermediate
0,2,1,menstruation,cycling,36,4,132,5.1,14,28.3,33,intermediate
0,0,27,luteal,hiit,48,6,149,7.3,31,10.0,33,intermediate
0,0,9,follicular,strength,73,6,134,6.2,58,12.5,33,intermediate
0,2,14,ovulation,running,42,5,130,4.8,24,25.9,33,intermediate
0,0,14,ovulation,strength,52,4,116,3.8,27,18.0,33,intermediate
0,2,11,follicular,yoga,15,6,138,6.8,11,0.2,33,intermediate
0,2,22,luteal,cycling,27,5,141,5.7,12,16.4,33,intermediate
0,0,17,luteal,running,42,3,131,3.5,15,17.6,33,intermediate
0,0,28,luteal,cycling,48,7,156,8.1,52,5.0,33,intermediate
0,2,20,luteal,yoga,40,5,144,6.1,29,17.0,33,intermediate
0,2,18,luteal,strength,45,6,141,6.2,35,13.0,33,intermediate
0,1,21,luteal,cycling,45,8,159,9.0,53,11.1,33,intermediate
0,2,19,luteal,running,56,8,159,8.7,64,1.5,33,intermediate
1,0,11,follicular,yoga,25,8,123,8.5,20,9.9,46,advanced
1,2,12,follicular,running,30,3,110,3.6,16,11.1,46,advanced
1,2,4,menstruation,cycling,23,6,129,7.4,21,34.6,46,advanced
1,1,6,follicular,cycling,50,4,108,4.0,25,26.1,46,advanced
1,2,28,luteal,yoga,57,3,112,4.5,26,7.5,46,advanced
1,2,22,luteal,hiit,49,5,122,4.9,37,15.1,46,advanced
